shipment_id,carrier_id,tracking_number,status,origin,destination,shipment_date,name,vehicle_type,capacity,warehouse_id,location,warehouse_capacity,latitude,longitude
349,18,Jz3315,Delivered,Lisboa,Viseu,2025-02-18,"Fisher, Murphy and Wilson",Van,3893,10,Lisboa,4793,38.722252,-9.139337
690,82,kL7481,Delayed,Porto,Ponte de Lima,2025-01-31,Bridges Ltd,Truck,3111,23,Porto,3279,41.157944,-8.629105
683,43,KP1884,In Transit,Aveiro,Covilhã,2025-01-06,Jacobs-Grant,Ship,1119,20,Aveiro,6266,40.640505,-8.653754
835,3,MJ6208,Delayed,Valongo,Oeiras,2025-01-07,Parker PLC,Truck,8636,25,Valongo,1547,41.195999,-8.4958
572,32,mZ8833,Delivered,Coimbra,Bragança,2025-01-06,Gutierrez-Harris,Van,1181,17,Coimbra,8640,40.203314,-8.410257
276,50,Tn2529,Delayed,Aveiro,Lisboa,2025-01-02,"Foster, Green and Hall",Ship,4548,20,Aveiro,6266,40.640505,-8.653754
424,47,aD7650,Delayed,Faro,Golegã,2025-01-16,Smith-Curtis,Truck,8536,8,Faro,5806,37.017963,-7.930834
517,86,er7423,Delayed,Sintra,Murtosa,2025-01-09,Hughes-Perkins,Van,8239,21,Sintra,5699,38.802868,-9.381659
1358,26,OE2731,Delivered,Vila Real,Ponte de Lima,2025-02-02,Tanner LLC,Ship,7088,12,Vila Real,9997,41.300621,-7.744129
545,26,uH7065,Delayed,Vila Real,Murtosa,2025-02-13,Tanner LLC,Ship,7088,12,Vila Real,9997,41.300621,-7.744129
167,38,Ou9061,In Transit,Marinha Grande,Golegã,2025-02-10,"Murphy, Hogan and Glass",Ship,6857,27,Marinha Grande,6906,39.75,-8.933333
405,13,QO8934,In Transit,Covilhã,Lisboa,2025-01-18,"Jones, Porter and Butler",Van,7419,3,Covilhã,6586,40.286011,-7.50453
825,89,nA3413,Delayed,Matosinhos,Espinho,2025-01-19,"Marquez, Ray and Hernandez",Van,4776,19,Matosinhos,7501,41.182836,-8.689084
935,96,iH5213,In Transit,Espinho,Guimarães,2025-01-15,Todd-Oconnor,Truck,1583,13,Espinho,1599,41.007599,-8.6414
504,14,og8980,In Transit,Ponte de Lima,Guimarães,2025-02-01,Griffith-Horne,Van,2917,22,Ponte de Lima,1050,41.767368,-8.58316
773,18,yB3084,In Transit,Lisboa,Sintra,2025-02-20,"Fisher, Murphy and Wilson",Van,3893,10,Lisboa,4793,38.722252,-9.139337
1150,30,ek7779,Delayed,Braga,Guimarães,2025-01-23,"Bailey, Stevens and Jones",Van,5924,14,Braga,8677,41.545448,-8.426507
1287,20,nX9450,Delivered,Coimbra,Ponte de Lima,2025-01-09,"Garcia, Spears and Thompson",Ship,8037,17,Coimbra,8640,40.203314,-8.410257
503,92,iZ8350,In Transit,Guimarães,Águeda,2025-01-17,"Alvarado, Robinson and Roth",Van,8601,29,Guimarães,2700,41.444858,-8.296193
1022,97,hH6899,In Transit,Guimarães,Aveiro,2025-02-11,Chen-Lopez,Truck,3532,29,Guimarães,2700,41.444858,-8.296193
1480,82,iL2106,In Transit,Porto,Vila Franca de Xira,2025-02-22,Bridges Ltd,Truck,3111,23,Porto,3279,41.157944,-8.629105
468,87,fe6541,Delayed,Famalicão,Guimarães,2025-02-20,Nolan-Roberts,Truck,2615,7,Famalicão,2248,41.410328,-8.519728
1426,80,Vh0848,Delivered,Águeda,Lisboa,2025-02-02,Miller-Hardy,Van,4667,4,Águeda,3948,40.577801,-8.44442
664,75,ly5696,In Transit,Elvas,Braga,2025-02-21,Brock Ltd,Truck,8196,11,Elvas,8814,38.881153,-7.162814
118,92,UQ1225,In Transit,Guimarães,Oeiras,2025-01-05,"Alvarado, Robinson and Roth",Van,8601,29,Guimarães,2700,41.444858,-8.296193
398,12,KE7415,In Transit,Odemira,Braga,2025-01-27,Gonzales-Colon,Ship,4465,26,Odemira,5737,37.598801,-8.64554
1100,78,FY7144,Delayed,Valongo,Marinha Grande,2025-01-30,Keith-Woods,Ship,9186,25,Valongo,1547,41.195999,-8.4958
9,24,ig4381,Delayed,Sines,Aveiro,2025-01-24,Clark-Hardin,Van,2921,24,Sines,1091,37.956081,-8.86889
1236,75,XV7165,Delivered,Elvas,Bragança,2025-02-10,Brock Ltd,Truck,8196,11,Elvas,8814,38.881153,-7.162814
561,13,Of2307,In Transit,Covilhã,Matosinhos,2025-01-13,"Jones, Porter and Butler",Van,7419,3,Covilhã,6586,40.286011,-7.50453
493,100,Cs9530,Delivered,Palmela,Sines,2025-01-04,"Hardy, Harris and Lewis",Van,6451,2,Palmela,9924,38.569801,-8.90193
1189,98,OK0844,In Transit,Braga,Porto,2025-01-18,Jacobson-Mann,Van,7026,14,Braga,8677,41.545448,-8.426507
1456,33,Uh9287,In Transit,Matosinhos,Palmela,2025-01-10,Gates-Smith,Ship,2654,19,Matosinhos,7501,41.182836,-8.689084
1368,63,MO1687,In Transit,Braga,Valongo,2025-02-19,"Martinez, Whitehead and Smith",Van,6684,14,Braga,8677,41.545448,-8.426507
1109,25,Ih1502,Delivered,Odemira,Valongo,2025-01-17,"Barnes, Armstrong and Mathews",Ship,7220,26,Odemira,5737,37.598801,-8.64554
750,30,Dw3877,In Transit,Braga,Faro,2025-01-09,"Bailey, Stevens and Jones",Van,5924,14,Braga,8677,41.545448,-8.426507
261,81,mt3135,In Transit,Covilhã,Matosinhos,2025-01-09,"Collins, Meyer and Harris",Van,9505,3,Covilhã,6586,40.286011,-7.50453
21,89,nY5069,In Transit,Matosinhos,Coimbra,2025-01-31,"Marquez, Ray and Hernandez",Van,4776,19,Matosinhos,7501,41.182836,-8.689084
265,1,UF3998,Delayed,Braga,Porto,2025-02-01,"Martinez, Johnson and Oconnor",Ship,8109,14,Braga,8677,41.545448,-8.426507
843,75,MM9106,Delivered,Elvas,Vila Real,2025-01-19,Brock Ltd,Truck,8196,11,Elvas,8814,38.881153,-7.162814
1283,45,KM6938,Delayed,Marinha Grande,Matosinhos,2025-01-13,Howard Inc,Ship,4232,27,Marinha Grande,6906,39.75,-8.933333
695,61,sP9558,Delayed,Famalicão,Marinha Grande,2025-02-02,"Carrillo, Cox and Gentry",Truck,7909,7,Famalicão,2248,41.410328,-8.519728
1014,44,cU4382,Delayed,Odemira,Faro,2025-01-05,Allen-Hill,Van,9214,26,Odemira,5737,37.598801,-8.64554
124,72,Xm8603,Delivered,Guimarães,Famalicão,2025-01-07,Reed-Barnes,Truck,4203,29,Guimarães,2700,41.444858,-8.296193
